zip_path,dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,train_size,val_size,has_codes,has_distance_file,distance_relerr_mean,distance_relerr_std,val_mse_best,train_mse_last,best_min_mse,status
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_128_K_1024.zip,bigann,128,1024,0,1280.0,32,64,16.0,384.0,384.0,,,False,False,,,121.338,0.0315043,166.202,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_128_K_16.zip,bigann,128,16,0,512.0,16,16,16.0,384.0,384.0,,,False,False,,,1143.93,969.38,1148.28,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_128_K_256.zip,bigann,128,256,0,1024.0,32,64,16.0,384.0,384.0,,,False,False,,,57.1579,2.70285,283.418,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_128_K_4096.zip,bigann,128,4096,0,1536.0,32,64,16.0,384.0,384.0,,,False,False,,,431.957,3.91273e-05,373.908,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_128_K_64.zip,bigann,128,64,0,768.0,32,64,16.0,384.0,384.0,,,False,False,,,151.731,75.3237,158.724,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_16_K_1024.zip,bigann,16,1024,0,160.0,32,64,16.0,384.0,384.0,,,True,False,,,11803.9,6849.04,3271.56,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_16_K_16.zip,bigann,16,16,0,64.0,16,16,16.0,384.0,384.0,,,True,False,,,34712.3,33276.1,13417.0,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_16_K_256.zip,bigann,16,256,0,128.0,32,64,16.0,384.0,384.0,,,True,False,,,15308.3,12272.3,4816.59,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_16_K_4096.zip,bigann,16,4096,0,192.0,32,64,16.0,384.0,384.0,,,True,False,,,9677.38,2610.18,2433.99,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_16_K_64.zip,bigann,16,64,0,96.0,32,64,16.0,384.0,384.0,,,True,False,,,22202.5,20160.8,7486.06,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_1_K_1024.zip,bigann,1,1024,0,10.0,32,64,16.0,384.0,384.0,,,True,False,,,71531.6,66305.0,70790.7,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_1_K_16.zip,bigann,1,16,0,4.0,16,16,16.0,384.0,384.0,,,True,False,,,100348.0,100537.0,99934.3,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_1_K_256.zip,bigann,1,256,0,8.0,32,64,16.0,384.0,384.0,,,True,False,,,78160.6,74741.0,77707.1,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_1_K_4096.zip,bigann,1,4096,0,12.0,32,64,16.0,384.0,384.0,,,True,False,,,67272.5,59708.9,66147.1,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_1_K_64.zip,bigann,1,64,0,6.0,32,64,16.0,384.0,384.0,,,True,False,,,87766.8,85964.4,87479.7,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_1024.zip,bigann,2,1024,0,20.0,32,64,16.0,384.0,384.0,,,True,False,,,53568.7,47188.2,45154.7,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_16.zip,bigann,2,16,0,8.0,16,16,16.0,384.0,384.0,,,True,True,0.3289535966212225,0.12104234497719452,85012.8,84023.0,76929.6,distance_ready
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_256.zip,bigann,2,256,0,16.0,32,64,16.0,384.0,384.0,,,True,False,,,60173.3,56042.0,52380.2,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_4096.zip,bigann,2,4096,0,24.0,32,64,16.0,384.0,384.0,,,True,False,,,49861.2,40077.7,40915.8,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_64.zip,bigann,2,64,0,12.0,32,64,16.0,384.0,384.0,,,True,False,,,70626.0,67725.6,62696.6,codes_only
